"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	31	4430141	0.7
	"Alabama"	"01"	"2000"	"2000"	25	4447100	0.6
	"Alabama"	"01"	"2001"	"2001"	38	4467634	0.9
	"Alabama"	"01"	"2002"	"2002"	50	4480089	1.1
	"Alabama"	"01"	"2003"	"2003"	30	4503491	0.7
	"Alabama"	"01"	"2004"	"2004"	42	4530729	0.9
	"Alabama"	"01"	"2005"	"2005"	41	4569805	0.9
	"Alabama"	"01"	"2006"	"2006"	83	4628981	1.8
	"Alabama"	"01"	"2007"	"2007"	113	4672840	2.4
	"Alabama"	"01"	"2008"	"2008"	126	4718206	2.7
	"Alabama"	"01"	"2009"	"2009"	140	4757938	2.9
	"Alabama"	"01"	"2010"	"2010"	116	4779736	2.4
	"Alabama"	"01"	"2011"	"2011"	115	4802740	2.4
	"Alabama"	"01"	"2012"	"2012"	112	4822023	2.3
	"Alabama"	"01"	"2013"	"2013"	116	4833722	2.4
	"Alabama"	"01"	"2014"	"2014"	185	4849377	3.8
	"Alabama"	"01"	"2015"	"2015"	217	4858979	4.5
	"Alabama"	"01"	"2016"	"2016"	262	4863300	5.4
	"Alabama"	"01"	"2017"	"2017"	261	4874747	5.4
	"Alabama"	"01"	"2018"	"2018"	252	4887871	5.2
	"Alaska"	"02"	"1999"	"1999"	12	624779	Unreliable
	"Alaska"	"02"	"2000"	"2000"	21	626932	3.3
	"Alaska"	"02"	"2001"	"2001"	10	633714	Unreliable
	"Alaska"	"02"	"2002"	"2002"	Suppressed	642337	Suppressed
	"Alaska"	"02"	"2003"	"2003"	13	648414	Unreliable
	"Alaska"	"02"	"2004"	"2004"	Suppressed	659286	Suppressed
	"Alaska"	"02"	"2005"	"2005"	20	666946	3.0
	"Alaska"	"02"	"2006"	"2006"	28	675302	4.1
	"Alaska"	"02"	"2007"	"2007"	20	680300	2.9
	"Alaska"	"02"	"2008"	"2008"	32	687455	4.7
	"Alaska"	"02"	"2009"	"2009"	30	698895	4.3
	"Alaska"	"02"	"2010"	"2010"	27	710231	3.8
	"Alaska"	"02"	"2011"	"2011"	34	722718	4.7
	"Alaska"	"02"	"2012"	"2012"	46	731449	6.3
	"Alaska"	"02"	"2013"	"2013"	30	735132	4.1
	"Alaska"	"02"	"2014"	"2014"	44	736732	6.0
	"Alaska"	"02"	"2015"	"2015"	49	738432	6.6
	"Alaska"	"02"	"2016"	"2016"	36	741894	4.9
	"Alaska"	"02"	"2017"	"2017"	36	739795	4.9
	"Alaska"	"02"	"2018"	"2018"	27	737438	3.7
	"Arizona"	"04"	"1999"	"1999"	205	5023823	4.1
	"Arizona"	"04"	"2000"	"2000"	227	5130632	4.4
	"Arizona"	"04"	"2001"	"2001"	221	5273477	4.2
	"Arizona"	"04"	"2002"	"2002"	226	5396255	4.2
	"Arizona"	"04"	"2003"	"2003"	251	5510364	4.6
	"Arizona"	"04"	"2004"	"2004"	265	5652404	4.7
	"Arizona"	"04"	"2005"	"2005"	304	5839077	5.2
	"Arizona"	"04"	"2006"	"2006"	364	6029141	6.0
	"Arizona"	"04"	"2007"	"2007"	325	6167681	5.3
	"Arizona"	"04"	"2008"	"2008"	281	6280362	4.5
	"Arizona"	"04"	"2009"	"2009"	327	6343154	5.2
	"Arizona"	"04"	"2010"	"2010"	318	6392017	5.0
	"Arizona"	"04"	"2011"	"2011"	313	6482505	4.8
	"Arizona"	"04"	"2012"	"2012"	268	6553255	4.1
	"Arizona"	"04"	"2013"	"2013"	288	6626624	4.3
	"Arizona"	"04"	"2014"	"2014"	301	6731484	4.5
	"Arizona"	"04"	"2015"	"2015"	325	6828065	4.8
	"Arizona"	"04"	"2016"	"2016"	333	6931071	4.8
	"Arizona"	"04"	"2017"	"2017"	398	7016270	5.7
	"Arizona"	"04"	"2018"	"2018"	523	7171646	7.3
	"Arkansas"	"05"	"1999"	"1999"	Suppressed	2651860	Suppressed
	"Arkansas"	"05"	"2000"	"2000"	12	2673400	Unreliable
	"Arkansas"	"05"	"2001"	"2001"	Suppressed	2691571	Suppressed
	"Arkansas"	"05"	"2002"	"2002"	17	2705927	Unreliable
	"Arkansas"	"05"	"2003"	"2003"	16	2724816	Unreliable
	"Arkansas"	"05"	"2004"	"2004"	26	2749686	0.9
	"Arkansas"	"05"	"2005"	"2005"	30	2781097	1.1
	"Arkansas"	"05"	"2006"	"2006"	26	2821761	0.9
	"Arkansas"	"05"	"2007"	"2007"	24	2848650	0.8
	"Arkansas"	"05"	"2008"	"2008"	35	2874554	1.2
	"Arkansas"	"05"	"2009"	"2009"	33	2896843	1.1
	"Arkansas"	"05"	"2010"	"2010"	47	2915918	1.6
	"Arkansas"	"05"	"2011"	"2011"	44	2937979	1.5
	"Arkansas"	"05"	"2012"	"2012"	50	2949131	1.7
	"Arkansas"	"05"	"2013"	"2013"	34	2959373	1.1
	"Arkansas"	"05"	"2014"	"2014"	54	2966369	1.8
	"Arkansas"	"05"	"2015"	"2015"	55	2978204	1.8
	"Arkansas"	"05"	"2016"	"2016"	59	2988248	2.0
	"Arkansas"	"05"	"2017"	"2017"	73	3004279	2.4
	"Arkansas"	"05"	"2018"	"2018"	101	3013825	3.4
	"California"	"06"	"1999"	"1999"	1158	33499204	3.5
	"California"	"06"	"2000"	"2000"	833	33871648	2.5
	"California"	"06"	"2001"	"2001"	503	34479458	1.5
	"California"	"06"	"2002"	"2002"	1095	34871843	3.1
	"California"	"06"	"2003"	"2003"	999	35253159	2.8
	"California"	"06"	"2004"	"2004"	993	35574576	2.8
	"California"	"06"	"2005"	"2005"	984	35827943	2.7
	"California"	"06"	"2006"	"2006"	1136	36021202	3.2
	"California"	"06"	"2007"	"2007"	1224	36250311	3.4
	"California"	"06"	"2008"	"2008"	1188	36604337	3.2
	"California"	"06"	"2009"	"2009"	1249	36961229	3.4
	"California"	"06"	"2010"	"2010"	1138	37253956	3.1
	"California"	"06"	"2011"	"2011"	1107	37691912	2.9
	"California"	"06"	"2012"	"2012"	1016	38041430	2.7
	"California"	"06"	"2013"	"2013"	1062	38332521	2.8
	"California"	"06"	"2014"	"2014"	1081	38802500	2.8
	"California"	"06"	"2015"	"2015"	1056	39144818	2.7
	"California"	"06"	"2016"	"2016"	964	39250017	2.5
	"California"	"06"	"2017"	"2017"	1106	39536653	2.8
	"California"	"06"	"2018"	"2018"	1210	39557045	3.1
	"Colorado"	"08"	"1999"	"1999"	129	4226018	3.1
	"Colorado"	"08"	"2000"	"2000"	129	4301261	3.0
	"Colorado"	"08"	"2001"	"2001"	118	4425687	2.7
	"Colorado"	"08"	"2002"	"2002"	155	4490406	3.5
	"Colorado"	"08"	"2003"	"2003"	166	4528732	3.7
	"Colorado"	"08"	"2004"	"2004"	185	4575013	4.0
	"Colorado"	"08"	"2005"	"2005"	236	4631888	5.1
	"Colorado"	"08"	"2006"	"2006"	268	4720423	5.7
	"Colorado"	"08"	"2007"	"2007"	253	4803868	5.3
	"Colorado"	"08"	"2008"	"2008"	256	4889730	5.2
	"Colorado"	"08"	"2009"	"2009"	278	4972195	5.6
	"Colorado"	"08"	"2010"	"2010"	207	5029196	4.1
	"Colorado"	"08"	"2011"	"2011"	286	5116796	5.6
	"Colorado"	"08"	"2012"	"2012"	280	5187582	5.4
	"Colorado"	"08"	"2013"	"2013"	272	5268367	5.2
	"Colorado"	"08"	"2014"	"2014"	319	5355866	6.0
	"Colorado"	"08"	"2015"	"2015"	316	5456574	5.8
	"Colorado"	"08"	"2016"	"2016"	298	5540545	5.4
	"Colorado"	"08"	"2017"	"2017"	284	5607154	5.1
	"Colorado"	"08"	"2018"	"2018"	303	5695564	5.3
	"Connecticut"	"09"	"1999"	"1999"	143	3386401	4.2
	"Connecticut"	"09"	"2000"	"2000"	162	3405565	4.8
	"Connecticut"	"09"	"2001"	"2001"	152	3432835	4.4
	"Connecticut"	"09"	"2002"	"2002"	167	3458749	4.8
	"Connecticut"	"09"	"2003"	"2003"	172	3484336	4.9
	"Connecticut"	"09"	"2004"	"2004"	196	3496094	5.6
	"Connecticut"	"09"	"2005"	"2005"	185	3506956	5.3
	"Connecticut"	"09"	"2006"	"2006"	251	3517460	7.1
	"Connecticut"	"09"	"2007"	"2007"	262	3527270	7.4
	"Connecticut"	"09"	"2008"	"2008"	237	3545579	6.7
	"Connecticut"	"09"	"2009"	"2009"	230	3561807	6.5
	"Connecticut"	"09"	"2010"	"2010"	207	3574097	5.8
	"Connecticut"	"09"	"2011"	"2011"	221	3580709	6.2
	"Connecticut"	"09"	"2012"	"2012"	218	3590347	6.1
	"Connecticut"	"09"	"2013"	"2013"	361	3596080	10.0
	"Connecticut"	"09"	"2014"	"2014"	356	3596677	9.9
	"Connecticut"	"09"	"2015"	"2015"	409	3590886	11.4
	"Connecticut"	"09"	"2016"	"2016"	535	3576452	15.0
	"Connecticut"	"09"	"2017"	"2017"	548	3588184	15.3
	"Connecticut"	"09"	"2018"	"2018"	521	3572665	14.6
	"Delaware"	"10"	"1999"	"1999"	27	774990	3.5
	"Delaware"	"10"	"2000"	"2000"	18	783600	Unreliable
	"Delaware"	"10"	"2001"	"2001"	25	795699	3.1
	"Delaware"	"10"	"2002"	"2002"	35	806169	4.3
